latitude,longitude
47.386941,-123.311958
47.386908,-123.311958
47.386879,-123.311961
47.386849,-123.311968
47.386814,-123.311976
47.386786,-123.311983
47.386754,-123.311989
47.38672,-123.311989
47.386687,-123.311991
47.386657,-123.311996
47.386625,-123.311999
47.386593,-123.312006
47.386568,-123.312016
47.386547,-123.312027
47.386521,-123.312029
47.386498,-123.312037
47.38647,-123.312044
47.386428,-123.312057
47.386393,-123.312077
47.386367,-123.312092
47.386329,-123.312112
47.386303,-123.312143
47.386277,-123.312173
47.386251,-123.312199
47.386218,-123.312215
47.386188,-123.31223
47.386162,-123.312247
47.386134,-123.31227
47.386102,-123.312295
47.386067,-123.312324
47.386029,-123.312349
47.38599,-123.312377
47.385947,-123.312402
47.385892,-123.312433
47.385845,-123.312463
47.385808,-123.312494
47.385775,-123.312522
47.385745,-123.312547
47.385716,-123.312573
47.385692,-123.312591
47.385668,-123.312616
47.38565,-123.312644
47.385634,-123.312667
47.38561,-123.312688
47.385578,-123.312705
47.385552,-123.31273
47.385529,-123.312761
47.385502,-123.312791
47.385462,-123.312819
47.385413,-123.31284
47.385361,-123.312858
47.385325,-123.312883
47.385298,-123.312909
47.38528,-123.312926
47.385265,-123.312947
47.385252,-123.312962
47.385244,-123.31298
47.385238,-123.312996
47.385235,-123.312996
47.385235,-123.312996
47.385235,-123.312996
47.385235,-123.312996
47.385235,-123.312996
47.385235,-123.312996
47.385235,-123.313023
47.385235,-123.313041
47.385233,-123.313068
47.385226,-123.313102
47.385221,-123.313127
47.385213,-123.31316
47.385205,-123.313196
47.385192,-123.313226
47.385176,-123.313257
47.38516,-123.313289
47.38515,-123.31333
47.385136,-123.313371
47.385125,-123.313404
47.385112,-123.313442
47.385095,-123.31348
47.385073,-123.313518
47.385052,-123.313556
47.385029,-123.31359
47.385018,-123.313617
47.385004,-123.313653
47.384984,-123.313684
47.384962,-123.313715
47.384944,-123.313745
47.384926,-123.313773
47.384901,-123.313798
47.384881,-123.313829
47.384861,-123.31386
47.384847,-123.313888
47.384826,-123.313911
47.384807,-123.313936
47.384782,-123.313964
47.384757,-123.313987
47.384727,-123.31401
47.3847,-123.31403
47.384668,-123.314048
47.384631,-123.314071
47.384594,-123.314091
47.384567,-123.314109
47.384541,-123.314132
47.38452,-123.314155
47.384494,-123.314175
47.384452,-123.31419
47.384412,-123.314206
47.384374,-123.314221
47.384342,-123.314234
47.384309,-123.314244
47.384261,-123.314259
47.384219,-123.314274
47.384177,-123.31429
47.384142,-123.314305
47.384123,-123.314325
47.384099,-123.314353
47.384063,-123.314374
47.38403,-123.314384
47.384017,-123.314387
47.384,-123.314397
47.383978,-123.314412
47.383958,-123.314427
47.383934,-123.314445
47.383908,-123.314468
47.383885,-123.314488
47.383864,-123.314508
47.383842,-123.314536
47.383816,-123.314559
47.383788,-123.31458
47.383756,-123.314595
47.383723,-123.31461
47.38369,-123.314626
47.383651,-123.314643
47.38361,-123.314666
47.383575,-123.314686
47.383549,-123.314704
47.383521,-123.314729
47.38349,-123.314764
47.383463,-123.314805
47.383444,-123.314838
47.383426,-123.314879
47.383411,-123.314924
47.383397,-123.314968
47.383382,-123.315011
47.383358,-123.315064
47.383334,-123.315113
47.383319,-123.315157
47.383305,-123.315216
47.383296,-123.315272
47.383291,-123.315331
47.383287,-123.315387
47.383288,-123.315445
47.383284,-123.315503
47.383282,-123.31557
47.38328,-123.315628
47.383272,-123.315686
47.383266,-123.315748
47.383266,-123.315799
47.383265,-123.315857
47.38326,-123.315911
47.383254,-123.315967
47.383249,-123.316023
47.383242,-123.316071
47.383239,-123.316124
47.383235,-123.31618
47.383231,-123.316241
47.383228,-123.3163
47.383228,-123.316351
47.383228,-123.316399
47.383228,-123.316452
47.383225,-123.316504
